UniqueID,Name,StartTime,EndTime,IsAcknowledged,Severity,Asset Name,Asset Category,Asset Class,Avg. Value,Description,DescriptionAlt,Duration,ElementPath,Equipment,Equipment Name,High Limit,Last Value,Last Value Triggered,Low Limit,Limit Low,Limit High,Limit High High,Max. Value,Min. Value,Origin High Limit,Plant Area,Reason,Status,TagNamePI,TextMessage,Trigger High Limit,Trigger Status,Type,Area Authority,Finding,Follow Up Action,Notification SAP,Reported at,Reported by,WEA
09e556dc-9371-11f0-9247-e379c84bdb5e,2025-09-17 09:50:00.000-UTAI4253B-Status-Out of Window (HH),2025/09/17 9:50:00 AM,2025/09/17 9:55:00 AM,False,Critical,AI-4253B,QMI,B,0.204564773657682,Conductivity outlet MBP B,,300,AF Monitoring\Utility\QMI\DA-4204B (MBP B)\UTAI4253B,DA-4204B (MBP B),AI-4253B,0.3,0.292795419692993,0,-99999,-,0.3,0.5,2,0.109353725314397,0.3,Utility,<null>,Out of Window (HH),UTAI4253B,Event IOW Occurred - AF Monitoring\Utility\QMI\DA-4204B (MBP B)\UTAI4253B | "UTAI4253B" | 2025-09-17 09:50:00.000-UTAI4253B-Status-Out of Window (HH),0,,Conductivity Meter,,,,,,,
651aa531-935b-11f0-9247-e379c84bdb5e,2025-09-17 07:10:00.000-ETAI723-Status-Out of Window (H),2025/09/17 7:10:00 AM,2025/09/17 7:20:00 AM,False,Warning,AI-723,IOW,A,9.40031615780148,PH meter daerator,,600,AF Monitoring\Ethylene\QMI\EG-701\ETAI723,EG-701,AI-723,9.5,9.50927352905273,0,7,7,9.5,-,9.53041076660156,9.29245758056641,9.5,Ethylene,<null>,Out of Window (H),ETAI723,Event IOW Occurred - AF Monitoring\Ethylene\QMI\EG-701\ETAI723 | "ETAI723" | 2025-09-17 07:10:00.000-ETAI723-Status-Out of Window (H),0,,PH meter,,,,,,,
509f7851-9352-11f0-9247-e379c84bdb5e,2025-09-17 06:05:00.000-ETAI723-Status-Out of Window (H),2025/09/17 6:05:00 AM,2025/09/17 6:15:00 AM,True,Warning,AI-723,IOW,A,9.39941993346132,PH meter daerator,,600,AF Monitoring\Ethylene\QMI\EG-701\ETAI723,EG-701,AI-723,9.5,9.49879550933838,0,7,7,9.5,-,9.53041076660156,9.29245758056641,9.5,Ethylene,<null>,Out of Window (H),ETAI723,Event IOW Occurred - AF Monitoring\Ethylene\QMI\EG-701\ETAI723 | "ETAI723" | 2025-09-17 06:05:00.000-ETAI723-Status-Out of Window (H),0,,PH meter,,,,,,,
d2a56234-934e-11f0-9247-e379c84bdb5e,2025-09-17 05:40:00.000-ETVIB06B-Status-Out of Window (H),2025/09/17 5:40:00 AM,2025/09/17 5:50:00 AM,False,Warning,VI-B06B,ROW,A,0.511011796808829,Bearing-2 Vibration,,600,AF Monitoring\Ethylene\ROW\GB-108\ETVIB06B,GB-108,VI-B06B,7.1,8.15749359130859,0,-99999,-,7.1,12,8.15749359130859,0.179722160100937,7.1,Ethylene,<null>,Out of Window (H),ETVIB06B,Event IOW Occurred - AF Monitoring\Ethylene\ROW\GB-108\ETVIB06B | "ETVIB06B" | 2025-09-17 05:40:00.000-ETVIB06B-Status-Out of Window (H),0,,Vibration,,,,,,,
55eb9fca-934b-11f0-9247-e379c84bdb5e,2025-09-17 05:15:00.000-ETAI723-Status-Out of Window (H),2025/09/17 5:15:00 AM,2025/09/17 5:35:00 AM,False,Warning,AI-723,IOW,A,9.39908507172393,PH meter daerator,,1200,AF Monitoring\Ethylene\QMI\EG-701\ETAI723,EG-701,AI-723,9.5,9.50505256652832,0,7,7,9.5,-,9.53041076660156,9.29245758056641,9.5,Ethylene,<null>,Out of Window (H),ETAI723,Event IOW Occurred - AF Monitoring\Ethylene\QMI\EG-701\ETAI723 | "ETAI723" | 2025-09-17 05:15:00.000-ETAI723-Status-Out of Window (H),0,,PH meter,,,,,,,
f51892bd-9342-11f0-9247-e379c84bdb5e,2025-09-17 04:15:00.000-ETAI723-Status-Out of Window (H),2025/09/17 4:15:00 AM,2025/09/17 4:25:00 AM,False,Warning,AI-723,IOW,A,9.39866080196205,PH meter daerator,,600,AF Monitoring\Ethylene\QMI\EG-701\ETAI723,EG-701,AI-723,9.5,9.51567554473877,0,7,7,9.5,-,9.53041076660156,9.29245758056641,9.5,Ethylene,<null>,Out of Window (H),ETAI723,Event IOW Occurred - AF Monitoring\Ethylene\QMI\EG-701\ETAI723 | "ETAI723" | 2025-09-17 04:15:00.000-ETAI723-Status-Out of Window (H),0,,PH meter,,,,,,,
ddc748d3-9339-11f0-9247-e379c84bdb5e,2025-09-17 03:10:00.000-ETAI723-Status-Out of Window (H),2025/09/17 3:10:00 AM,2025/09/17 3:55:00 AM,False,Warning,AI-723,IOW,A,9.39857130597294,PH meter daerator,,2700,AF Monitoring\Ethylene\QMI\EG-701\ETAI723,EG-701,AI-723,9.5,9.50867080688477,0,7,7,9.5,-,9.53041076660156,9.29245758056641,9.5,Ethylene,<null>,Out of Window (H),ETAI723,Event IOW Occurred - AF Monitoring\Ethylene\QMI\EG-701\ETAI723 | "ETAI723" | 2025-09-17 03:10:00.000-ETAI723-Status-Out of Window (H),0,,PH meter,,,,,,,
55e5dc9a-92e5-11f0-9247-e379c84bdb5e,2025-09-16 17:10:00.000-ETFI135-Status-Out of Window (HH),2025/09/16 5:10:00 PM,9999/12/31 11:59:59 PM,False,Critical,FT-135,IOW,A,131.512331424308,MEDIUM STEAM TO EA120,,64226.5403455,AF Monitoring\Ethylene\IOW\EA-119\ETFI135,EA-119,FT-135,130,130.169235229492,0,37.5,37.5,120,130,134.499877929688,128.423965454102,130,Ethylene,<null>,Out of Window (HH),ETFI135,Event IOW Occurred - AF Monitoring\Ethylene\IOW\EA-119\ETFI135 | "ETFI135" | 2025-09-16 17:10:00.000-ETFI135-Status-Out of Window (HH),0,,Flow,,,,,,,
51641b69-92ce-11f0-9247-e379c84bdb5e,2025-09-16 14:20:00.000-ETFC493-Status-Out of Window (H),2025/09/16 2:20:00 PM,9999/12/31 11:59:59 PM,False,Warning,FT-493,IOW,A,537.864751191907,Quench Water to EA-451,,74426.6923445,AF Monitoring\Ethylene\IOW\FV-493\ETFC493,FV-493,FT-493,492,493.426239013672,0,370,370,492,800,587.554138183594,414.412139892578,492,Ethylene,<null>,Out of Window (H),ETFC493,Event IOW Occurred - AF Monitoring\Ethylene\IOW\FV-493\ETFC493 | "ETFC493" | 2025-09-16 14:20:00.000-ETFC493-Status-Out of Window (H),0,,Flow,,,,,,,
ead48467-92be-11f0-9247-e379c84bdb5e,2025-09-16 12:35:00.000-ETFI135-Status-Out of Window (HH),2025/09/16 12:35:00 PM,2025/09/16 5:05:00 PM,False,Critical,FT-135,IOW,A,131.945076744091,MEDIUM STEAM TO EA120,,16200,AF Monitoring\Ethylene\IOW\EA-119\ETFI135,EA-119,FT-135,120,130.949432373047,0,37.5,37.5,120,130,134.611709594727,128.423965454102,120,Ethylene,<null>,Out of Window (HH),ETFI135,Event IOW Occurred - AF Monitoring\Ethylene\IOW\EA-119\ETFI135 | "ETFI135" | 2025-09-16 12:35:00.000-ETFI135-Status-Out of Window (HH),0,,Flow,,,,,,,
7043f80c-92bb-11f0-9247-e379c84bdb5e,2025-09-16 12:10:00.000-ETFI135-Status-Out of Window (H),2025/09/16 12:10:00 PM,2025/09/16 12:35:00 PM,False,Warning,FT-135,IOW,A,131.930234493219,MEDIUM STEAM TO EA120,,1500,AF Monitoring\Ethylene\IOW\EA-119\ETFI135,EA-119,FT-135,130,129.759796142578,0,37.5,37.5,120,130,134.611709594727,128.731719970703,130,Ethylene,<null>,Out of Window (H),ETFI135,Event IOW Occurred - AF Monitoring\Ethylene\IOW\EA-119\ETFI135 | "ETFI135" | 2025-09-16 12:10:00.000-ETFI135-Status-Out of Window (H),0,,Flow,,,,,,,
df9e752c-927b-11f0-9247-e379c84bdb5e,2025-09-16 04:30:00.000-ETAI723-Status-Out of Window (H),2025/09/16 4:30:00 AM,2025/09/16 4:50:00 AM,False,Warning,AI-723,IOW,A,9.3698990481194,PH meter daerator,,1200,AF Monitoring\Ethylene\QMI\EG-701\ETAI723,EG-701,AI-723,9.5,9.50410652160645,0,7,7,9.5,-,9.50765609741211,9.24548625946045,9.5,Ethylene,<null>,Out of Window (H),ETAI723,Event IOW Occurred - AF Monitoring\Ethylene\QMI\EG-701\ETAI723 | "ETAI723" | 2025-09-16 04:30:00.000-ETAI723-Status-Out of Window (H),0,,PH meter,,,,,,,
affe7e0d-9277-11f0-9247-e379c84bdb5e,2025-09-16 04:00:00.000-ETAI723-Status-Out of Window (H),2025/09/16 4:00:00 AM,2025/09/16 4:20:00 AM,False,Warning,AI-723,IOW,A,9.3680007811281,PH meter daerator,,1200,AF Monitoring\Ethylene\QMI\EG-701\ETAI723,EG-701,AI-723,9.5,9.50451850891113,0,7,7,9.5,-,9.50765609741211,9.24548625946045,9.5,Ethylene,<null>,Out of Window (H),ETAI723,Event IOW Occurred - AF Monitoring\Ethylene\QMI\EG-701\ETAI723 | "ETAI723" | 2025-09-16 04:00:00.000-ETAI723-Status-Out of Window (H),0,,PH meter,,,,,,,
